overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"10 14, 2014",ABJF6IL8J212Z,B00CJXYR3W,D. Joslyn,"Why even port this game to the PC if it looks like crap, plays worse, and is frame locked at 30 fps? I honestly thought of all the companies out there Bethesda wouldn't pull this. This is clearly made for the PS4/XBox1 which is fine don't port it to PC. Nope you decided that PC players would buy it so you ported it and we are stuck with this crap. Anyone thinking about buying this game on Steam or here for the PC just take your cash and set it on fire at least you'll get some warmth and something that actually works.",Don't Waste Your Money on the PC Version.,1413244800,13,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,False,"12 26, 2014",A2XTVCHZHBHR8H,B00K586QQO,D. Williams,Copy of nhl 14. Only reason it's 3 stars is fanboys,One Star,1419552000,,{'Format:': ' Video Game'},
1.0,True,"01 2, 2015",A2UEXA5EDWF0F4,B000FQ9QVI,Amazon Customer,Don't know yet my game did not work it was different version that did not work in my system -but i will let you know when i get a new copy,super mario galaxy -forgien version not us version,1420156800,,,
1.0,False,"09 23, 2012",A32Y2FJ5ZQY620,B001TOQ8X4,Jonas Romulus and Edgar,This game is terrible in all aspects.  It does not shine in a single category.  It also poses a serious health hazard to young children.,Another blatant example of why PC is worse than consoles,1348358400,4,{'Format:': ' Video Game'},
1.0,True,"03 14, 2013",A2S0S9IMQRBLGU,B0009R1TGS,Tommy Killeen,terrible graphics...Boring gameplay and it freezes at the end!!!!! the first Suffering was great this one just outright blows....Fast delivery but as i said THIS GAME SUCKS!!!! DO NOT WASTE YOUR MONEY!!!! google this game and see what I mean by freezing....got all the way to the end and BAM!!!!! Frozen!!!!,Sucky Game!!!,1363219200,,,
1.0,True,"02 19, 2014",A1UAO12VQZT9HH,B007H2V9W2,rabid,never was able to download the game ? origin is messed up! direct download of games would be better instead of relying on 3rd party!,never was able to download?,1392768000,,{'Format:': ' Software Download'},
1.0,True,"12 29, 2014",A26MQK9PONNPF,B00008URUB,Russell Melin,"The disc was too scratched to play, it doesn't read past the first level and gives an error message","The disc was too scratched to play,",1419811200,,,
1.0,False,"03 17, 2010",ATGL0NLUC9WYH,B000FQ2DTA,Darrel Cook,"What was Square-Enix thinking when they decided to sit down and create this RPG?!?  I can understand 2 maybe 5 hours of tutorial linear crap, but 25 hours worth?!?  They should have made it more open and indepth from the start.",Disappointment and then some,1268784000,7,{'Format:': ' Video Game'},
1.0,True,"09 12, 2014",AVTLLY67TSLU3,B009IR1SR0,R. Laisle,"Crashed my computer with a BSOD resulting in having to reinstall Windows 7 and reinstalling all my things I had fortunately JUST backed up. SCREW YOU ELECTRONIC ARTS, YOU SUCK!!!!!","backdated, unsalable software stay far away from EA",1410480000,,,
1.0,True,"10 4, 2016",A21Z0377YERLCH,B000BNCF8G,O.P.T.,"Although the disc is in mint condition, my PS2 says it cannot read it.  Upon Googling the issue, I see others have had this problem with this game specifically.  How infuriating.",Unplayable,1475539200,,{'Format:': ' Video Game'},
1.0,False,"05 10, 2015",A17IU57EG2ZGT5,B001DI6O6C,Vu N.,"I am a veteran player of these Guild Wars Games, and I must tell you as that NEVER BUY THESE AS USED GAMES, because NCSOFT technical support will tell you that IT IS A VIOLATIONS of their games POLICY that if you buy a used game you can never be the owner of the game, as the same way that they told me that ""there is nothing they can do for you:"" In my case a person gave me his used game after he declined to sell me his game as used game and gave me his game code and email including his password. I played the game and created a character then I didn't play for like 5 yrs, and few weeks ago I was try to get back in the game but forgot the password, then after 5 days after NCSOFT supports gave me lot of bs and run around then they finally told me that ""YOU ARE NOT THE ORIGINAL OWNER OF THIS GAME, AND IT IS A VIOLATION or aka TOA of NCSOFT games policy that the game can only have 1 owner.

I hope this help you before you decide to purchase this game as a used game.
ALWAYS BUY NEW GAME ON AMAZON. MAKE SURE TO PRINT OUT YOUR purchase that have the game code or you will go to hell to get access to your game from NCSOFT supports.

Hope that Help!",I played the game and created a character then I didn't play for like 5 yrs,1431216000,,,
1.0,True,"04 5, 2016",A2D8HK2C8BJ41K,B00ZS15FVA,Anonymous012,"The only good thing about this is adding the new story onto the Wii. U version because it looks so horrible looking on the new 3DS game, I don't know why the cut scenes looks better than the actual play, but another cheap and overpriced game.",The only good thing about this is adding the new story onto ...,1459814400,,"{'Edition:': ' Standard', 'Platform:': ' Nintendo 3DS'}",
1.0,False,"03 12, 2016",A1MJP937ST62OH,B017W16ZDK,Myself,Nintendo will never reach Sony/MS's level. They're always generations behind them!,One Star,1457740800,3,,
1.0,False,"05 10, 2007",A23QI40UOA59OK,B000MI0W3U,Haritio Nivens,Top spin 2 was not done well for the PC. I like sports game on  the PC and image that top spin 2 would be great. It was a complete letdown. the grapics were shoddy the game play was bad. Stick with the xbox 360 version.,Top Spin 2 is not that great,1178755200,,{'Platform:': ' PC'},
1.0,True,"11 14, 2016",A3N1VB0EP2639P,B01EZA0DEI,B. Wright,Unless you are going to dedicate your life to call of duty I would avoid the series in the future. This game has become such a cesspool for fanboys and no lifers which make it no longer fun to play. It seems to me that kids invest far too much time into the call of duty series and unless you are unemployed you will have a very difficult time competing online. It is nearly identical to the previous version. Obviously not everyone that plays online is a pro but in order to be competitive you have to invest alot time into this game.,Disappointment,1479081600,6,"{'Edition:': ' Legacy', 'Platform:': ' Xbox One'}",
1.0,True,"12 25, 2012",AL3MFYSK9HKCL,B0050SYYTK,Amazon Customer,"Kinect games are hit or miss, and although they're all generally getting better, they still don't offer a good experience in controller-less gaming.  Disneyland Adventures is a game that especially demonstrates this.

UNBOXING:

The game is a standard Xbox CD and  comes in a clamshell that only has two pamphlets.  Neither one tells you how to play.

GAMEPLAY:

The game is very detail oriented, and replicates a virtual Disneyland to a tee.  However, the controlling of the avatars is a PAIN IN THE @$$!  The game will often drop the player for no reason.  When coming back into the game, you need to wave frantically and it doesn't always (mostly never) pick you up again.  Then when you get back in the game, your avatar randomly changes: from boy to girl and vice versa, and from race to race.

There's a little ticket avatar that tells you the basics of movement: essentially hold your hand out to go directions forward, left and right.  Wave to interact with other avatars.  Hands in the air to take a picture.  But that's it.  As far as how to play any of the games, there are no instructions.

PROS:

- It's Disneyland!
- Voice overs sound like Disney Character cartoons

CONS:

- Controlability (BIG CON)
- No instructions

OVERALL:

This game IS NOT for anyone under the age of 10.  All of my kids cannot play this game because of the glitches in the contolling avatars.  They all gave up within 5-10 minutes of playing.

I got this for about $15, so it's a lesson in what not to buy.  I DO NOT RECOMMEND this video game.  Stick with winners like Kinect Sports and Kinectimals.",Disney Missed the Boat with This One!,1356393600,3,,
1.0,True,"03 15, 2015",A1GRLPP09WRHP6,B0014UGK4U,Athobix,"False Product buy it on steam the lucky few that got it to work congratulations but buy it on steam a lot of people plus me got the there was a problem activating red faction guerrilla error even know the key came with the game and i can not contact anyone else but the seller they need to mark this as a false product and remove it i paid 4 dollars for it today when it was on sale and i get this message so fix it give me a new key or take it down.

What i do not understand is they want us to fix it when it is there issue make a steam version to we can buy it from steam i mean seriously i am not going to sit here and download programs from weird links to fix it my anti virus will pick the stuff up as Trojan horses and i am not going to trust them fix your guy's issue or send all of the people you ripped off a steam key?",False selling product.,1426377600,,{'Platform:': ' PC Download'},
1.0,True,"10 5, 2015",A3U11UX5Q74LE2,B00DHF39HQ,Adniel C.,Looks too fake!,One Star,1444003200,2,{'Format:': ' Video Game'},
1.0,False,"06 19, 2011",A1S4TVC7TD4GYU,B00140P9BA,Vishal Kasliwal,"There are several things wrong with this game
Squad AI and enemy AI: This basically kills the game. The squad AI is so bad, the squad is a liability rather than an asset. Squad members will run out in front of you and block your shot, refuse to stay put when you tell them too, refuse to maintain distance and will therefore attract splash damage to you because they run up next to you, stand out in the open and just shoot away. The way the controls are set up, squad-mates are unnecessarily hard to issue orders to. For example, the game forces you to use a 'Biotic' power to destroy certain enemies. If you're a soldier you don't have access to these powers, so you have to use a squad-mate. To do so, you must have line of sight to the enemy that you want your squad-mate to destroy. WHY? How does this make any sense whatsoever? Why not just let the player switch control between characters like most RPGs of the 'recruit your squad-mates' variety do? Enemy AI is very primitive. While they us cover, it's very sparingly and they never do anything other than hold position or duck and weave between different cover. No grenade usage, no assault, nothing. BORING!
Sticky walls: ME1 decided to go with the '3rd person shooter duck and lean' system popularized by Gears of War. While it may work well on a console, here it's just annoying - you repeatedly stick to any bit of wall that you run into and un-sticking yourself is not smooth but you sort of have to pull yourself away. It's very annoying.
The Car & Mineral Collection: It's no fun to drive (in fact, it drives terribly and is very very aggravating) and they turn resource collection into a boring drive across empty terrain. If you don't do this, you can't buy the good stuff. So you just have to explore scores of worlds, driving across maps to find minerals. It's all very irritating and boring after the first time. The fact that this has to be done many many times made me decide to drop the game and stop playing it.
The BIOWARE recipe: Here's how it works - reveal a terrible calamity to the player. Have him move around the world collecting companions and harvesting resources by giving him boring, semi generic missions (the missions are basically identical between games. Try playing Dragon Age & KOTOR 1 alongside ME1 and you'll see what I mean). When he becomes Uber Powerful, lock him into a channeled sequence of events which culminates in him killing the boss in a (usually boring and repetitive shoot out so many body parts type) boss fight. We went there and did that with KOTOR 1 & 2, Dragon Age 1 & 2 and I hope by now people realize just how absolutely standardized all Bioware games are and how ME 1 stays true to this generic pattern.

In the end, my suggestion is to pass this game over in favor of more interesting titles.",Poorly implemented AI & bad game mechanics,1308441600,2,{'Format:': ' DVD-ROM'},
1.0,True,"04 29, 2013",A2EH88KAF0DSOE,B004NSVKIG,mlmoore,"i so much enjoyed gourmania 1  i couldn't wait to get the second one, with great expectations  then a massive let down.  its a totally different format, rebuild restaurants, i expected a similar game to the first one more time management.  and to top it off the game did strange things on its own, the graphics would not come forward so you had a white spot where your ho's were suppose to be, this happened more and more times as the game progressed, if you had a chore to do it would not respond, i never got to finish the game due to technical difficulties, i just deleted it and chalked it up to a bad experience it happens",disappointed,1367193600,3,,
1.0,True,"03 1, 2015",A3BHY0S3M3WGW7,B00KVQYJR8,daniel prieto,Boring game,One Star,1425168000,2,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,True,"04 25, 2018",A2A8DHPQEB130A,B00L9CDCN0,Sabrina,return,One Star,1524614400,,,
1.0,True,"03 3, 2018",A3ADDNG7GQH75E,B00ZQBLNP4,Keith F. Kelly,"The camera and controls in this game are just infuriating!  Im constantly fighting against the cameras idiotic smarts to be able to actually see what I need to see.  Theres no way to adjust the terrible thumbstick sensitivity curve (huge dead zone, right up to about 90% of the way toward the edge, at which point your character starts tip-toeing, and then at about 95% he just goes into a full sprint).

It makes me really sad that The Last Guardian is so frustrating to play, because the boy and the animal are very lifelike and the story starts off kinda cute... but the controls and camera truly ruin it, and the entire gameplay concept is just plain frustrating.  Its like they were trying to do something kinda like Rime but just didn't offer the right balance of hints/cues versus non-obviousness, so its just brick wall scenario, be frustrated for half an hour while randomly stumbling around watching nothing happen, accidentally discover what you need to do through blind luck, move on to the next brick wall scenario.  Ugh.  Games are supposed to be fun, but The Last Guardian is just torture.",Frustrating game with awful controls and stupid camera,1520035200,3,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,True,"01 13, 2015",A3LVFEG981ZQ74,B0024ZT3XO,Ethan,"Like many other reviewers have said on here already, this cable doesn't actually work. It's built so porely (or at least some of them are, they might have horrible quality control issues) that the 5v output from my Anker Astro 3 12800mAh battery is dropped down well below the 4.6v that the 3DS needs to charge. Meaning the 3DS won't charge while playing, and will only charge super slowly during sleep mode. Don't purchase this, it's not worth the risk.","Too Much Resistance in the Cable, Won't Actually Charge",1421107200,12,"{'Color:': ' Black', 'Package Quantity:': ' 1'}",
1.0,True,"12 27, 2016",A1KH62E8VDDCV,B00FWK8UWI,Michael,"It stopped working properly in a matter of months, just with regular use. All of a sudden, some keys just stopped working. There was no clear cause. In that same amount of time, the paint rubbed away enough to make the most commonly-used letters illegible. It is lit in the crudest way possible, shining one solid light and painting black on the clear plastic, but leaving the letter areas unpainted, thus creating a ridge of paint on the edges of the letter, bound to wear off quickly. It also has a poor textile feeling when typing. It's spongy. It feels like someone took a soft cellphone skin and spread it under the keys. I doubt it would've lasted long, even without the malfunction.",It was okay for a few months only,1482796800,,,
1.0,True,"06 13, 2018",A2DZWWF8XJNB17,B00AAS888S,Tommy,"Was waiting for this mouse anxiously because my Razer Taipan was spoilt and Razer ask me to pay for shipping back to USA  in order to RMA. (I live on the other side of the world in Singapore) So I plugged in this mouse and the cursor doesn't move at all although the left and right mouse buttons were working fine. Took me 20 minutes of reinstalling synapse 2.0 and 3.0 and uninstall the mouse and repeat everything all over again to realise that the mouse does not work on wooden surfaces.

I would understand if the mouse doesn't work on glass surface but wooden surface?!?! This is really a bummer and I probably have to pay expensive shipping fees to get my refund which is totally not worth it. I have used Razer mouses since 2007 with more than 5 different mouses CopperHead, Diamondback, Lachesis, Taipan, Taipan (again), DeathAdder(this), but this will be my LAST razer mouse for sure. Razer's CEO may be a Singaporean but he disappoints me with such sub-par products and lousy aftersales support. I'm going Logitech or other brands from now on.",Lousy Product. Lousy Customer Service. My final Razer mouse.,1528848000,,{'Style:': ' DeathAdder - Black Ops 3'},['https://images-na.ssl-images-amazon.com/images/I/51Vi76la31L._SY88.jpg']
1.0,False,"09 13, 2010",A2ZAIKFQ0LQ0WV,B00136MBHA,Store Hadji,"I love a lot of Square games and bought this on the strength of the reviews, but I thought this game was terrible. I disliked the music, the style of the art, the premise of the story, the real-time dual-screen combat using the stylus, the idea of buying buttons as item upgrades, and liked nothing about it.

If you're an RPG fan and money means anything to you, do your homework before purchasing this one. I did my homework but should have done more.",Hated It,1284336000,9,,
1.0,False,"08 12, 2010",AAJV37ZRYAEO3,B002BUOZOE,CarmenSandiego2,"This game is short and boring. You really don't solve anything, you just play a seek and find puzzles the whole time and the story moves along. Then there is a useless majong bonus game when you win. Not even related to the story line. I sold this game as soon as i finished it. What a disappointment!!!",Don't buy it!!!,1281571200,,,
1.0,True,"12 4, 2017",A2TAA47KB17C1I,B0009VXBAQ,Robin,Comes without cables and there was still other user info and a couple screws unscrewed...........,Cheap for a reason,1512345600,,{'Color:': ' White'},
1.0,False,"07 8, 2009",ATJF5QEVNMWIL,B001NPCTDC,GamePlayer30,"The copy protection(I hate the term DRM) is still causing many problems with this add on. Also, this add on  is lacking any real depth. Great for 8 year olds ,maybe.",DRM/Malware still,1247011200,5,{'Platform:': ' PC/Mac'},
1.0,False,"04 15, 2016",A3IBGV63UXBYVW,B006ZTHFPS,Jgilson,"Bought this on the cheap at GS to prep for MK XL. I can't do the moves. I can't beat the tutorial. It's probably something I'm doing wrong, but I don't have the time to figure out what. Moving on to something else. I'm done with fighting games. My fingers are too fat and clumsy.",Couldn't beat tutorial...enough said.,1460678400,,{'Format:': ' Video Game'},
1.0,True,"08 17, 2013",A3TKA7DBGO394J,B004AM5RAW,firebomb,"I would include pictures or even a video, but the fact is I trashed the mouse a while ago.
I'll break it down for you.

The Razer Naga Molten looks really cool, and the buttons are super useful, while it worked I UTTERLY loved the thing, being able to macro things to it, change the polling rate, and go back and forth on the internet between pages with the side buttons was wonderful.

But it fell off my desk onto soft carpet, less than 3 feet and it felt like a large chunk was rattling around inside, I was like ok, no problem!
I could still use it even though now it felt really junky and cheap, but then the left and right mouse buttons started to fail, I would click them and they'd become unresponsive, then eventually they started to stick, over time it started ghosting all over, that's when I took a demolition hammer to it and decided to never buy this brand again.

What I've learned from this experience, there's a 50-50 change you're going to get one Deaded'.
You may get lucky and get one that last's forever, but it seems like it's a hit or miss, it's too much money in my opinion to throw into a hole only to have the thing die from standard gaming use or a super super light fall, could I have gotten a replacement and tried again? sure, but I'm not down like that, if I spend this much money and you do me like this you're through with me, NO APOLOGIZES OR POLITICAL CORRECTNESS, there is just simply better gear out there and I'm not wasting my time with kit that's going down so easy for such a silly price point.

I have three Logitec mice from 2004 that still work, that have all been abused in heated and violent beer fueled Unreal and Quake lan parties, so to me to have such an expensive set of kit up and die from [FAIRY] style light use, is utterly unacceptable to me.
If you're a new school kid who thinks it's the cool thing to buy go for it, but I'm sticking to Mechanical Keyboards and Logitech Mice, they work flat out and let me waste fools no issue without up and dieing on me like some drugged up elf in an ally.",Breaks way too easy,1376697600,5,,
1.0,True,"05 10, 2016",A1RHXAXN775X9P,B007MJSZDQ,Carol Lee-truong,it doesn't work.,One Star,1462838400,,,
1.0,False,"11 29, 2015",A38PIUJKADUTKA,B00FEOUHWS,Jarin,"THERE IS A FATAL GLITCH JUST BEFORE YOU GET THE FINAL WEAPON!  DO NOT WASTE YOUR TIME GETTING 8/10 OF THE WAY THROUGH THE GAME ONLY TO HAVE THIS FATAL GLITCH!  NOT WORTH IT!  IT MAY OR MAY NOT HAPPEN, BUT IT'S NOT WORTH FINDING OUT!",FATAL GLITCH NEAR THE END!!!,1448755200,,,
1.0,True,"06 24, 2013",A4K1D2XSEV0FA,B00104X1WE,ROBERT ROUSE,"had better on commodore 64, it's nothing but karp and not worth buying it. I'm sorry I spent my money.",sorry product,1372032000,,,
1.0,True,"12 2, 2015",A2Y01DB89AJS6I,B00PIEHUD8,chris,Came in Japanese version,Super lie,1449014400,,,
1.0,True,"12 6, 2012",A2Y29IRSI08F0I,B001DTVKKQ,Frank,"My daughter (4) did not like it and thought it was boring. If she does not like it, I do not like it.",Daughter did not like it,1354752000,,{'Platform:': ' Nintendo DS'},
1.0,True,"02 19, 2016",A2JE5R9T7ENBEW,B00YQ2MM2M,Donald,Check out the post and blogs before you buy this product. It is trouble prone and you have to use Stream. Between the two there is very little to no support. I will never purchase another never fixed game from Bethesda nor will I ever get another game that forces me to use Stream. Neither have anything for customer support. Bethesda just wants your money and Stream just wants your personal info. Probably time for a class action suit.,Don't waste your time or money.,1455840000,,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,True,"06 10, 2013",A1SQD65P8EDTRA,B009CEM332,Matt,"- Awful Music (I think there's only one or two original tracks)
- Awful Sound effects
- Awful Physics
- Awful Port
- The game speed feels like molasses. It's just awful.
- Awful Sound Options, everything is half as loud as the rest of the system
- Awful UI graphics
- Awful level remakes. You have to wonder if these idiots played the original at times or just looked at pictures.
- Zero of the charm of the original
- Awful, Awful, Awful, Awful music
- No proper multiplayer.
- Money grabbing DLC that should be included by default given how terrible this port is.

Even at $2.50 I wouldn't bother. It'll ruin your memories of the original and if you didn't play the original you'll be ruined on the series in general. Get the PS1 version and be MUCH happier. It's simply AMAZING that a PS1 game is more technically impressive and ambitious than this remake.","Ok remake, no heart.",1370822400,,,
1.0,False,"02 24, 2013",A2YRK2XNXALLKQ,B000GDFSR6,T-ACCT,"A Sonic racing game... normally a good thing. Not Sonic R. Known for being a rushed out game for the failed Sega Saturn, it has poor graphics, strange not fit music, and controls like sandpaper. It is no fun at all, only something to stare at in disgust.",Absolute garbage,1361664000,3,,
1.0,False,"02 17, 2014",A1S1BJFTA644TU,B00GU041PY,Professor Boom Boom,"State of Decay is a big letdown.  You'd think that a developer who has to compete with the likes of Left for Dead, Resident Evil, Dead Rising, etc. during the Walking Dead craze on TV would have put SOME effort into creating a fun survival game.  Nope.

This game is a simple hack and slash with a lot of wasted time running and searching.  The graphics are nothing to write home about--a little cartoony.  The sound effects are mediocre.  The action is repetitive and pointless.

Don't be fooled by press jobs.  There is no strategy here.  There is no action game here.  State of Decay is basically Facebook or iPhone quality gaming, hyped up to make money from PC gamers.

The premise is a good one.  Survive a zombie outbreak and build communities, find resources, etc.  But a good idea does not make a good game.  This game will bore you to tears.  Combat is not fun.  Searching is not fun.  Running across maps is not fun.  Why play a GAME if it is not FUN?  What a waste.

AVOID AT ALL COSTS.  Waste of money AND time.",Terrible Game.  Boring Hack and Slash.,1392595200,8,,
1.0,True,"04 17, 2017",A2186P6ANNOAFP,B0000C6EB4,charles givens,game did not come with a 2nd disc and a key code but I got a refund with no problem.,game did not come with a 2nd disc and a ...,1492387200,,"{'Edition:': ' Game of the Year', 'Platform:': ' PC'}",
1.0,False,"03 13, 2009",A15LG7HS4WKKKS,B0012N94WO,AL BADER,"The more I see games from the far east - the more I agree with Hideo Kojima, when he said ""If you honestly compare Japanese games with Western ones, Japan has lost"". Resident Evil is another example of how you can make a games, which looks great graphically, but is barely playable in terms of controls.

To begin with, just to start the game you have to push the following sequence of buttons (or, more like ""push the same button so many times""): Start, X, X , X, X, X, Down, Down, X, X... Are you freaking kidding me???

And it's the same throughout the game: every time you need to go to a next Act, or to restart a game because you got killed, it's a miriad of X pushes. Even to upgrade a weapon you have to push X to select the upgrade, then confirm Upgrade by pushing X again, then confirm the confirmation by pushing X again, then when it's upgraded you have to push X yet again to the message that the upgrade has been installed. HOLY COW!!! Who in the hell did come up with this stupidity???

Now, I don't know why it was even considered as an option, let alone the ONLY option available, to completely STOP a player in his/her place to shoot and even to reload a gun. But it does seem like every playable character in the game is a complete idiot, unable to handle more than one task at a time: you can either move, or you can shoot, or you can reload your gun, but never the combination of moving and one of the other two.

Aiming is also weird: while you're rooted in place, you have to find where in the hell the laser line ends, which is nearly impossible without a full (stereo) 3D, because you can't really tell how far it ends, because it can be pretty much anywhere on the screen (not centered as in the majority of games where you have to aim).

The control scheme is the worst of all games in the world. I've complained on bad controls in other games, of course, but nothing comes close to RE5 in this regard: I doubt you can come up with the worst controls for decades to come.

As far as the storyline is concerned - it's japanese, so it's all ridiculously cheesy and convoluted, just like pretty much all other japanese games that managed to reach the West. I know some people might like it, so take this as my personal opinion :)

All in all, the controls completely ruined the game for me. The graphics are amazing (although the PS3 version, as usual, have gotten a shorter end of a stick, with jaggies appearing/disappearing all the time because of the ""dynamic"" antialiasing, framerate drops, which also causes control lagginess, and many other graphical compromises here and there that have already been mentioned by the [...] reviewers.",Nothing amazing and nothing  new,1236902400,9,{'Format:': ' Video Game'},
1.0,True,"06 11, 2015",A1WOPNGQXJRRWS,B000QDCPFE,miner swetland,Didnt work.,One Star,1433980800,,,
1.0,True,"05 14, 2015",A1KI1RVKNFB979,B00IU9T3KG,jhopper4,did not work right,One Star,1431561600,,,
1.0,False,"06 17, 2016",A25X6SBDQI7CG0,B000FT61OU,Lyle,Ridiculously expensive. Apart from the fact it's  incredibly overrated by sega fanboy..600-1000 $ are you kidding?  A game is not worth that much.,Ridiculously expensive. Apart from the fact it's incredibly overrated ...,1466121600,,,
